State,District,Latitude,Longitude,District code,State name,Population,Male,Female,Literate,Male_Literate,Female_Literate,SC,Male_SC,Female_SC,ST,Male_ST,Female_ST,Workers,Male_Workers,Female_Workers,Non_Workers,Agricultural_Workers,Household_Workers,Other_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Households,Below_Primary_Education,Primary_Education,Secondary_Education,Higher_Education,Graduate_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Households_with_Bicycle,Households_with_Car_Jeep_Van,Households_with_Radio_Transistor,Households_with_Scooter_Motorcycle,Households_with_Landline_only,Households_with_Mobile_only,Households_with_TV_Computer_Laptop_Telephone_mobile_phone_and_Scooter_Car,Households_with_Television,Households_with_Telephone_Mobile_Phone,Households_with_Telephone_Mobile_Phone_Both,Having_bathing_facility_Total_Households,Having_latrine_facility_within_the_premises_Total_Households,Ownership_Owned_Households,Ownership_Rented_Households,Main_source_of_drinking_water_Handpump_Tubewell_Borewell_Households,Main_source_of_drinking_water_River_Canal_Households,Location_of_drinking_water_source_Near_the_premises_Households,Location_of_drinking_water_source_Within_the_premises_Households,Main_source_of_drinking_water_Tank_Pond_Lake_Households,Main_source_of_drinking_water_Tapwater_Households,Main_source_of_drinking_water_Tubewell_Borehole_Households,Power_Parity_Less_than_Rs_45000,sex_ratio
Andhra Pradesh,Adilabad,19.28451395,78.81321233,532,ANDHRA PRADESH,2741239,1369597,1371642,1483347,856350,626997,488596,242844,245752,495794,247472,248322,1323667,748939,574728,1417572,484912,84661,390357,2399901,275970,15422,1377,25510,617,322,22120,194954,566108,5512,45202,597466,220248,817714,232470,344167,225957,143143,100226,1536378,704551,422522,150289,8338,25190,96998,15483,374630,9483,306433,403530,13417,378259,191052,559211,77594,267233,3303,212025,229686,1521,270862,79354,648,100
Andhra Pradesh,Anantapur,14.31206556,77.46015845,553,ANDHRA PRADESH,4081148,2064495,2016653,2310960,1338474,972486,583135,292379,290756,154127,78573,75554,2036166,1208544,827622,2044982,879537,105343,638033,3599372,443456,20463,932,341,1417,309,14858,223016,897970,8606,48299,902997,341431,1244428,462273,720357,331793,162175,144915,2189396,1104565,739612,206433,9915,63528,144214,24039,534408,14470,559461,581087,22640,755971,353948,779195,172680,117001,469,528245,225275,201,819675,43685,969,98
Andhra Pradesh,Chittoor,13.33109263,78.92763899,554,ANDHRA PRADESH,4174064,2090204,2083860,2667878,1484794,1183084,785760,389582,396178,159165,79756,79409,1933357,1202223,731134,2240707,748093,57269,693451,3737588,397870,24129,867,253,1322,358,11677,324406,944555,13763,67087,907970,395900,1303870,522961,770836,548336,265199,246409,2148179,1159053,807430,225856,16296,93489,186568,35378,561188,24934,611465,632803,36237,754648,382377,815953,196720,135531,548,539408,342011,494,835606,92651,1021,100
Andhra Pradesh,East Godavari,16.78271832,82.24320747,545,ANDHRA PRADESH,5154296,2569688,2584608,3288577,1716933,1571644,945269,468883,476386,213195,104422,108773,2093681,1545831,547850,3060615,1122046,57853,753375,4983330,77777,77825,738,413,4149,403,9661,479914,1297273,22411,93784,1199479,406362,1605841,669420,947606,521562,271809,263023,2724328,1478954,948122,779052,25381,113126,232073,65415,614288,34494,821421,732492,52789,869464,800168,1088823,278383,342767,6523,558347,613789,5684,908806,40397,1274,101
Andhra Pradesh,Guntur,15.88492577,80.58657614,548,ANDHRA PRADESH,4887813,2440521,2447292,2960441,1634726,1325715,957407,476333,481074,247089,125105,121984,2381624,1442370,939254,2506189,1227956,47436,803891,4217597,559770,89763,764,323,3282,332,15982,648568,1186028,19383,80434,1069877,513113,1582990,736270,845810,453446,246580,221924,2583462,1371811,928462,454586,17424,106907,190079,62229,617321,28457,816849,733133,53583,904201,762845,981115,276073,428749,4238,465404,554667,5833,739450,73453,1119,100
Andhra Pradesh,Hyderabad,17.38971556,78.46668889,536,ANDHRA PRADESH,3943323,2018575,1924748,2892155,1542688,1349467,247927,124313,123614,48937,25556,23381,1413297,1045585,367712,2530026,23029,46157,1315803,2046051,1713405,87522,11446,1268,19560,1929,62142,581509,869721,149034,274653,0,1066289,1066289,230962,596591,811501,517425,558090,2249130,1068243,542669,229561,124106,288188,439890,91702,583744,200317,746818,799174,123728,873099,868186,437146,422826,8759,84,47880,814362,1196,862054,6139,416,95
Andhra Pradesh,Karimnagar,18.51548319,79.43765429,534,ANDHRA PRADESH,3776269,1880800,1895469,2206829,1257238,949591,709757,352481,357276,106745,53495,53250,1876768,1049463,827305,1899501,756859,168340,591179,3491139,244723,24979,2086,332,312,115,12583,344667,926768,8831,46584,877236,288044,1165280,340372,453505,463403,293493,256633,1940234,1031735,728494,406211,14175,37212,192965,25539,648422,16190,589283,691495,17534,675283,452865,823820,141432,135427,305,197387,633350,299,681510,65437,961,101
Andhra Pradesh,Khammam,17.68392133,80.67008644,541,ANDHRA PRADESH,2797370,1390988,1406382,1630234,901640,728594,462896,229905,232991,765565,378532,387033,1410062,802906,607156,1387308,804537,19799,360754,2595321,158887,33463,655,217,459,539,7829,219710,668519,8628,42171,669262,201363,870625,295639,346118,238811,154774,160804,1530602,774583,477955,267852,11887,35761,115078,19525,389453,15140,416734,427722,18744,403739,360531,616617,115379,210458,4467,240615,354579,889,468045,61127,732,101
Andhra Pradesh,Krishna,16.14387275,81.14805061,547,ANDHRA PRADESH,4517398,2267375,2250023,3009718,1598959,1410759,871063,435412,435651,132464,66734,65730,2048880,1327299,721581,2468518,1006976,48444,843294,4023678,307043,145598,1393,863,6320,906,31597,632890,1163932,30438,101450,909292,567042,1476334,618101,692968,531821,312753,328454,2340943,1284630,833959,525079,27969,112568,212111,76037,598166,43264,794346,743696,69493,897201,863417,863382,328243,205072,1097,387804,611878,6592,903992,43371,1054,99
Andhra Pradesh,Kurnool,15.43759715,77.90086837,552,ANDHRA PRADESH,4053463,2039227,2014236,2127161,1246369,880792,737945,370215,367730,82831,42052,40779,2029425,1164122,865303,2024038,1037302,60791,620378,3328380,670737,33165,737,255,2235,434,17520,195001,816721,10081,56478,783853,306982,1090835,521327,672951,271828,152453,115504,2368684,1053618,609027,271815,10622,79714,118153,30605,519103,15373,543044,572406,22698,702120,353289,710444,156505,138946,6352,431425,227045,3297,696977,38696,1042,99
